Time RV eRV
54551.868783 0.810999999999673 1
54552.880221 4.07199999999985 0.96
54554.846366 6.31299999999957 1.18
54555.87079 1.48299999999946 1.07
54556.838936 0.534000000000034 0.98
54557.804592 0.043999999999933 1.09
54562.905075 5.02700000000011 1.05
54563.898808 2.53799999999949 1
54564.895759 0.92800000000004 1.2
54568.891702 8.84099999999943 1.48
54569.881078 3.74099999999977 1.27
54570.870766 2.4519999999999 1.36
54583.933324 4.36899999999962 1.56
54587.919825 2.36199999999975 1.55
54588.909632 7.212 1.51
54590.901964 8.10300000000019 1.4
54591.900611 3.50399999999951 1.43
54592.897751 1.50499999999987 1.12
54593.919961 0.914999999999999 1.14
54610.87823 13.8850000000001 1.43
54611.856581 10.5949999999995 1.01
54616.841719 9.46800000000003 1.36
54617.806576 10.6289999999998 1.74
54618.664475 10.7089999999994 2.63
54639.86773 8.24200000000008 1.55
54640.723804 10.872 1.15
54641.766933 6.8229999999998 1.27
54642.67695 5.55299999999992 1.09
54643.68613 -0.496000000000052 1.25
54644.732044 2.48399999999993 1.03
54646.639658 8.95500000000027 1.43
54647.63021 7.69600000000015 1.21
54648.65709 4.99699999999947 1.42
54658.650838 0.421999999999478 1.37
54660.650214 3.82399999999983 1.52
54661.760056 5.72399999999984 1.34
54662.664144 6.87499999999996 1.44
54663.784376 2.75499999999962 1.28
54664.766558 3.58599999999942 2.13
54665.774513 1.02599999999953 1.34
54666.683607 4.17699999999943 1.29
54674.576462 10.6820000000001 1.78
54677.663487 13.1629999999996 3.15
54679.572671 3.6839999999998 1.85
54681.573996 7.79599999999991 1.55
54701.523392 4.41700000000012 1.16
54708.564794 2.94099999999986 1.29
54733.48729 14.1249999999999 3.86
54735.499425 1.60699999999991 1.63
54736.550865 -0.903000000000098 1.52
54746.485935 -1.09700000000057 0.99
54992.721062 12.054 1.14
54995.741739 4.59600000000027 1.31
54998.708975 8.55799999999984 1.46
55053.694541 0.208999999999904 1.55
55276.88259 6.32799999999989 1.26
55278.827303 5.62899999999988 1.34
55280.8548 8.23000000000018 1.36
55283.868014 4.56199999999995 1.09
55287.860052 9.67399999999952 1.12
55294.88272 11.6579999999997 1.06
55295.754277 12.4589999999998 1.45
55297.80575 8.04000000000027 1.19
55298.813775 7.16999999999945 1.15
55299.785905 8.92099999999996 2.38
55300.876852 10.1019999999998 1.24
55301.896438 12.6219999999995 1.73
55323.705436 13.6849999999997 1.27
55326.717047 5.10599999999961 1.68
55328.702599 6.48800000000005 1.47
55335.651717 7.43199999999966 1.64
55337.704618 11.0330000000003 1.68
55338.649293 18.2830000000003 2.66
55339.713716 9.49400000000011 1.92
55341.789626 4.16499999999953 1.2
55342.720036 10.4059999999997 1.58
55349.682257 9.19999999999987 1.44
55352.601155 18.6009999999994 1.75
55354.642822 12.3530000000001 1.14
55355.576777 9.47299999999984 1.43
55358.754723 14.1549999999997 1.71
55359.599377 11.2350000000001 1.45
55673.791183 9.71600000000006 1.47
55777.715412 19.2759999999996 1.99
55779.530103 16.0070000000001 1.29
55809.547632 10.2739999999999 1.18
55815.538689 6.54799999999955 1.25
